Misspelled_Make,Misspelled_Model,Correct_Make,Correct_Model
Dodge,Challenger SRT,Dodge,Challenger SRT
Ram,1500 TRX,Ram,1500 TRX
Tesler,Semi,Tesla,Semi
Mini,Countryman Plug-in Hybrid,Mini,Countryman Plug-in Hybrid
Fiat,Panda,Fiat,Panda
Alfa Romio,Stelvio Quadrifoglio,Alfa Romeo,Stelvio Quadrifoglio
Genisis,GV60,Genesis,GV60
Mitsubishe,ASX,Mitsubishi,ASX
Toyotta,bZ4X,Toyota,bZ4X
Honnda,Passport,Honda,Passport
Forde,Maverick,Ford,Maverick
Chevrolett,Trailblazer,Chevrolet,Trailblazer
Mersedes,EQE,Mercedes,EQE
Nisan,Ariya,Nissan,Ariya
Volswagon,Taos,Volkswagen,Taos
Hyndai,Kona,Hyundai,Kona
Kiaa,Seltos,Kia,Seltos
BMV,i4,BMW,i4
Audi,RS6 Avant,Audi,RS6 Avant
Lexuss,LX,Lexus,LX
Mazda,CX-50,Mazda,CX-50
Subaru,Legacy,Subaru,Legacy
Acurra,RDX A-Spec,Acura,RDX A-Spec
Jeap,Grand Wagoneer,Jeep,Grand Wagoneer
Chryseler,Airflow,Chrysler,Airflow
Infiniti,QX60 Autograph,Infiniti,QX60 Autograph
Buik,Encore GX,Buick,Encore GX
Lincolnn,Aviator Grand Touring,Lincoln,Aviator Grand Touring
Cadilac,Escalade-V,Cadillac,Escalade-V
Porche,911 GT3,Porsche,911 GT3
Jagwar,XF Sportbrake,Jaguar,XF Sportbrake
Landrover,Defender 110,Land Rover,Defender 110
Volvoe,XC40 Recharge,Volvo,XC40 Recharge
GMC,Sierra Denali Ultimate,GMC,Sierra Denali Ultimate
Dodge,Durango SRT Hellcat,Dodge,Durango SRT Hellcat
Ram,2500 Power Wagon,Ram,2500 Power Wagon
Tesler,Model S Plaid,Tesla,Model S Plaid
Mini,John Cooper Works GP,Mini,John Cooper Works GP
Fiat,500e,Fiat,500e
Alfa Romio,Giulia GTA,Alfa Romeo,Giulia GTA
Genisis,G70 Shooting Brake,Genesis,G70 Shooting Brake
Mitsubishe,Eclipse Cross PHEV,Mitsubishi,Eclipse Cross PHEV
Toyotta,GR Corolla,Toyota,GR Corolla
Honnda,Civic Type R,Honda,Civic Type R
Forde,Mustang Mach-E,Ford,Mustang Mach-E
Chevrolett,Corvette Z06,Chevrolet,Corvette Z06
Mersedes,AMG One,Mercedes,AMG One
Nisan,Z,Nissan,Z
Volswagon,Golf R,Volkswagen,Golf R
Hyndai,Elantra N,Hyundai,Elantra N
Kiaa,Stinger,Kia,Stinger
BMV,M3 Competition,BMW,M3 Competition
Audi,RS Q8,Audi,RS Q8
Lexuss,RZ 450e,Lexus,RZ 450e
Mazda,CX-90,Mazda,CX-90
Subaru,WRX,Subaru,WRX
Acurra,MDX Type S,Acura,MDX Type S
Jeap,Grand Cherokee L,Jeep,Grand Cherokee L
Chryseler,300C,Chrysler,300C
Infiniti,Q50 Red Sport 400,Infiniti,Q50 Red Sport 400
Buik,Enclave Avenir,Buick,Enclave Avenir
Lincolnn,Nautilus Black Label,Lincoln,Nautilus Black Label
Cadilac,CT5-V Blackwing,Cadillac,CT5-V Blackwing
Porche,Cayenne Turbo GT,Porsche,Cayenne Turbo GT
Jagwar,F-Pace SVR,Jaguar,F-Pace SVR
Landrover,Range Rover Velar,Land Rover,Range Rover Velar
Volvoe,S60 Recharge,Volvo,S60 Recharge
GMC,Yukon AT4,GMC,Yukon AT4
Dodge,Charger Scat Pack,Dodge,Charger Scat Pack
Ram,1500 Rebel G/T,Ram,1500 Rebel G/T
Tesler,Cybertruck Tri Motor,Tesla,Cybertruck Tri Motor
Mini,Countryman SE ALL4,Mini,Countryman SE ALL4
Fiat,500X Sport,Fiat,500X Sport
Alfa Romio,Tonale Ti,Alfa Romeo,Tonale Ti
Genisis,GV80 Prestige,Genesis,GV80 Prestige
Mitsubishe,Outlander PHEV,Mitsubishi,Outlander PHEV
Toyotta,Sequoia,Toyota,Sequoia
Honnda,Insight,Honda,Insight
Forde,Bronco Raptor,Ford,Bronco Raptor
Chevrolett,Tahoe RST,Chevrolet,Tahoe RST
Mersedes,GLS Maybach,Mercedes,GLS Maybach
Nisan,Pathfinder Rock Creek,Nissan,Pathfinder Rock Creek
Volswagon,Arteon R-Line,Volkswagen,Arteon R-Line
Hyndai,Tucson N Line,Hyundai,Tucson N Line
Kiaa,Carnival SX Prestige,Kia,Carnival SX Prestige
BMV,X5 M Competition,BMW,X5 M Competition
Audi,S8,Audi,S8
Lexuss,LS 500 F Sport,Lexus,LS 500 F Sport
Mazda,3 Turbo,Mazda,3 Turbo
Subaru,Outback Wilderness,Subaru,Outback Wilderness
Acurra,TLX Type S PMC Edition,Acura,TLX Type S PMC Edition
Jeap,Wrangler 4xe,Jeep,Wrangler 4xe
Chryseler,Pacifica Pinnacle,Chrysler,Pacifica Pinnacle
Infiniti,QX80 Sensory,Infiniti,QX80 Sensory
Buik,Envision Avenir,Buick,Envision Avenir
Lincolnn,Corsair Reserve,Lincoln,Corsair Reserve
Cadilac,XT4 Sport,Cadillac,XT4 Sport
Porche,718 Cayman GT4 RS,Porsche,718 Cayman GT4 RS
Jagwar,I-Pace HSE,Jaguar,I-Pace HSE
Landrover,Discovery Metropolitan Edition,Land Rover,Discovery Metropolitan Edition
Volvoe,V90 Cross Country,Volvo,V90 Cross Country
GMC,Terrain Denali,GMC,Terrain Denali
Dodge,Challenger R/T Scat Pack Widebody,Dodge,Challenger R/T Scat Pack Widebody
Ram,2500 Laramie Longhorn,Ram,2500 Laramie Longhorn
Tesler,Model X Plaid,Tesla,Model X Plaid
Mini,Cooper SE Hardtop 2 Door,Mini,Cooper SE Hardtop 2 Door
Fiat,Tipo Cross,Fiat,Tipo Cross
Alfa Romio,Stelvio Veloce,Alfa Romeo,Stelvio Veloce
Genisis,Electrified GV70,Genesis,Electrified GV70
Mitsubishe,L200,Mitsubishi,L200
Toyotta,Crown,Toyota,Crown
Honnda,Pilot TrailSport,Honda,Pilot TrailSport
Forde,F-150 Lightning,Ford,F-150 Lightning
Chevrolett,Silverado ZR2,Chevrolet,Silverado ZR2
Mersedes,EQE SUV,Mercedes,EQE SUV
Nisan,Frontier PRO-4X,Nissan,Frontier PRO-4X
Volswagon,ID. Buzz,Volkswagen,ID. Buzz
Hyndai,IONIQ 6,Hyundai,IONIQ 6
Kiaa,EV9,Kia,EV9
BMV,XM,BMW,XM
Audi,RS3,Audi,RS3
Lexuss,RX 500h F Sport Performance,Lexus,RX 500h F Sport Performance
Mazda,CX-60,Mazda,CX-60
Subaru,Ascent Onyx Edition,Subaru,Ascent Onyx Edition
Acurra,Integra A-Spec,Acura,Integra A-Spec
Jeap,Compass Trailhawk,Jeep,Compass Trailhawk
Chryseler,Voyager LXi,Chrysler,Voyager LXi
Infiniti,QX55 Essential,Infiniti,QX55 Essential
Buik,Regal TourX,Buick,Regal TourX
Lincolnn,Aviator Black Label,Lincoln,Aviator Black Label
Cadilac,CT4-V,Cadillac,CT4-V
Porche,Panamera Turbo S E-Hybrid,Porsche,Panamera Turbo S E-Hybrid
Jagwar,XE R-Dynamic,Jaguar,XE R-Dynamic
Landrover,Defender 130,Land Rover,Defender 130
Volvoe,XC60 T8 Polestar Engineered,Volvo,XC60 T8 Polestar Engineered
GMC,Acadia AT4,GMC,Acadia AT4
Dodge,Hornet GT,Dodge,Hornet GT
Ram,1500 Limited Night Edition,Ram,1500 Limited Night Edition
Tesler,Model Y Performance,Tesla,Model Y Performance
Mini,Clubman John Cooper Works ALL4,Mini,Clubman John Cooper Works ALL4
Fiat,Pulse,Fiat,Pulse
Alfa Romio,4C Spider 33 Stradale Tributo,Alfa Romeo,4C Spider 33 Stradale Tributo
Genisis,G90 Long Wheelbase,Genesis,G90 Long Wheelbase
Mitsubishe,Xpander,Mitsubishi,Xpander
Toyotta,Venza,Toyota,Venza
Honnda,CR-V Hybrid,Honda,CR-V Hybrid
Forde,Expedition Timberline,Ford,Expedition Timberline
Chevrolett,Blazer EV,Chevrolet,Blazer EV
Mersedes,G-Class 4x4 Squared,Mercedes,G-Class 4x4 Squared
Nisan,Rogue Sport,Nissan,Rogue Sport
Volswagon,Atlas Cross Sport,Volkswagen,Atlas Cross Sport
Hyndai,Santa Cruz,Hyundai,Santa Cruz
Kiaa,K5 GT,Kia,K5 GT
BMV,i7,BMW,i7
Audi,Q8 e-tron,Audi,Q8 e-tron
Lexuss,IS 500 F Sport Performance,Lexus,IS 500 F Sport Performance
Mazda,MX-5 RF,Mazda,MX-5 RF
Subaru,Crosstrek Hybrid,Subaru,Crosstrek Hybrid
Acurra,NSX Type S,Acura,NSX Type S
Jeap,Renegade Trailhawk,Jeep,Renegade Trailhawk
Chryseler,300S V8,Chrysler,300S V8
Infiniti,Q60 Red Sport 400,Infiniti,Q60 Red Sport 400
Buik,Encore GX Sport Touring,Buick,Encore GX Sport Touring
Lincolnn,Navigator L Reserve,Lincoln,Navigator L Reserve
Cadilac,XT6 Sport,Cadillac,XT6 Sport
Porche,Macan T,Porsche,Macan T
Jagwar,F-Type R,Jaguar,F-Type R
Landrover,Range Rover Evoque Autobiography,Land Rover,Range Rover Evoque Autobiography
Volvoe,S90 Recharge,Volvo,S90 Recharge
GMC,Canyon Denali,GMC,Canyon Denali
Dodge,Durango GT Plus,Dodge,Durango GT Plus
Ram,3500 Limited Longhorn,Ram,3500 Limited Longhorn
Tesler,Roadster SpaceX Package,Tesla,Roadster SpaceX Package
Mini,Countryman John Cooper Works ALL4,Mini,Countryman John Cooper Works ALL4
Fiat,Fastback,Fiat,Fastback
Alfa Romio,Giulia Quadrifoglio NRING,Alfa Romeo,Giulia Quadrifoglio NRING
Genisis,GV60 Performance,Genesis,GV60 Performance
Mitsubishe,Triton,Mitsubishi,Triton
Toyotta,Corolla Cross,Toyota,Corolla Cross
Honnda,Accord Sport 2.0T,Honda,Accord Sport 2.0T
Forde,Ranger Raptor,Ford,Ranger Raptor
Chevrolett,Equinox RS,Chevrolet,Equinox RS
Mersedes,AMG GT 63 S E Performance,Mercedes,AMG GT 63 S E Performance
Nisan,Altima SR VC-Turbo,Nissan,Altima SR VC-Turbo
Volswagon,Tiguan R,Volkswagen,Tiguan R
Hyndai,Palisade Calligraphy,Hyundai,Palisade Calligraphy
Kiaa,Sorento X-Line,Kia,Sorento X-Line
BMV,iX M60,BMW,iX M60
Audi,RS e-tron GT,Audi,RS e-tron GT
Lexuss,NX 450h+ F Sport,Lexus,NX 450h+ F Sport
Mazda,CX-5 Signature,Mazda,CX-5 Signature
Subaru,Impreza RS,Subaru,Impreza RS
Acurra,ILX A-Spec,Acura,ILX A-Spec
Jeap,Gladiator Mojave,Jeep,Gladiator Mojave
Chryseler,Pacifica Touring L,Chrysler,Pacifica Touring L
Infiniti,QX50 Autograph,Infiniti,QX50 Autograph
Buik,Enclave Essence,Buick,Enclave Essence
Lincolnn,Corsair Grand Touring,Lincoln,Corsair Grand Touring
Cadilac,Escalade ESV Sport Platinum,Cadillac,Escalade ESV Sport Platinum
Porche,911 Dakar,Porsche,911 Dakar
Jagwar,E-Pace 300 Sport,Jaguar,E-Pace 300 Sport
Landrover,Discovery Sport R-Dynamic,Land Rover,Discovery Sport R-Dynamic
Volvoe,V60 Cross Country,Volvo,V60 Cross Country
GMC,Hummer EV SUV,GMC,Hummer EV SUV
Dodge,Charger Daytona SRT Concept,Dodge,Charger Daytona SRT Concept
Ram,1500 REV,Ram,1500 REV
Tesler,Model 3 Highland,Tesla,Model 3 Highland
Mini,Cooper S Convertible,Mini,Cooper S Convertible
Fiat,Strada,Fiat,Strada
Alfa Romio,Stelvio Sprint,Alfa Romeo,Stelvio Sprint
Genisis,Electrified G80 Sport,Genesis,Electrified G80 Sport
Mitsubishe,Pajero Sport,Mitsubishi,Pajero Sport
Toyotta,GR86,Toyota,GR86
Honnda,Civic Si,Honda,Civic Si
Forde,Puma ST,Ford,Puma ST
Chevrolett,Trax,Chevrolet,Trax
Mersedes,CLE-Class,Mercedes,CLE-Class
Nisan,Qashqai,Nissan,Qashqai
Volswagon,ID.7,Volkswagen,ID.7
Hyndai,Sonata N Line,Hyundai,Sonata N Line
Kiaa,Rio,Kia,Rio
BMV,Z4,BMW,Z4
Audi,SQ7,Audi,SQ7
Lexuss,LC 500 Convertible,Lexus,LC 500 Convertible
Mazda,2,Mazda,2
Subaru,Levorg,Subaru,Levorg
Acurra,ZDX,Acura,ZDX
Jeap,Avenger,Jeep,Avenger
Chryseler,Portal,Chrysler,Portal
Infiniti,QX60 Sensory,Infiniti,QX60 Sensory
Buik,GL8,Buick,GL8
Lincolnn,Zephyr,Lincoln,Zephyr
Cadilac,CT4-V Blackwing,Cadillac,CT4-V Blackwing
Porche,Taycan Cross Turismo,Porsche,Taycan Cross Turismo
Jagwar,XJ Electric,Jaguar,XJ Electric
Landrover,Range Rover SV,Land Rover,Range Rover SV
Volvoe,EX90,Volvo,EX90
GMC,Sierra EV,GMC,Sierra EV
Dodge,Hornet R/T,Dodge,Hornet R/T
Ram,Heavy Duty Rebel,Ram,Heavy Duty Rebel
Tesler,Model 2,Tesla,Model 2
Mini,Aceman,Mini,Aceman
Fiat,Toro,Fiat,Toro
Alfa Romio,Tonale PHEV,Alfa Romeo,Tonale PHEV
Genisis,X Convertible,Genesis,X Convertible
Mitsubishe,Airtrek,Mitsubishi,Airtrek
Toyotta,Century SUV,Toyota,Century SUV
Honnda,Prologue,Honda,Prologue
Forde,Territory,Ford,Territory
Chevrolett,Montana,Chevrolet,Montana
Mersedes,EQG,Mercedes,EQG
Nisan,X-Trail,Nissan,X-Trail
Volswagon,Amarok,Volkswagen,Amarok
Hyndai,Casper,Hyundai,Casper
Kiaa,Sportage X-Pro,Kia,Sportage X-Pro
BMV,M2,BMW,M2
Audi,A6 e-tron,Audi,A6 e-tron
Lexuss,TX,Lexus,TX
Mazda,CX-80,Mazda,CX-80
Subaru,Baja,Subaru,Baja
Acurra,ADX,Acura,ADX
Jeap,Recon,Jeep,Recon
Chryseler,Halcyon,Chrysler,Halcyon
Infiniti,QX65,Infiniti,QX65
Buik,Electra,Buick,Electra
Lincolnn,Star,Lincoln,Star
Cadilac,Optiq,Cadillac,Optiq
Porche,Macan Electric,Porsche,Macan Electric
Jagwar,J-Pace,Jaguar,J-Pace
Landrover,Road Rover,Land Rover,Road Rover
Volvoe,EM90,Volvo,EM90
GMC,Granite,GMC,Granite
Dodge,Ramcharger,Dodge,Ramcharger
Ram,Dakota,Ram,Dakota
Tesler,Robotaxi,Tesla,Robotaxi
Mini,Traveller,Mini,Traveller
Fiat,Argo,Fiat,Argo
Alfa Romio,Brennero,Alfa Romeo,Brennero
Genisis,GV90,Genesis,GV90
Mitsubishe,eK X EV,Mitsubishi,eK X EV
Toyotta,Land Cruiser Se,Toyota,Land Cruiser Se
Honnda,ZR-V,Honda,ZR-V
Forde,Equator,Ford,Equator
Chevrolett,Seeker,Chevrolet,Seeker
Mersedes,EQA Sedan,Mercedes,EQA Sedan
Nisan,Townstar,Nissan,Townstar
Volswagon,ID.2,Volkswagen,ID.2
Hyndai,Staria,Hyundai,Staria
Kiaa,Carens,Kia,Carens
BMV,i5,BMW,i5
Audi,Q6 e-tron,Audi,Q6 e-tron
Lexuss,LBX,Lexus,LBX
Mazda,CX-70,Mazda,CX-70
Subaru,Solterra STI,Subaru,Solterra STI
Acurra,Precision,Acura,Precision
Jeap,Wagoneer S,Jeep,Wagoneer S
Chryseler,Airflow Graphite,Chrysler,Airflow Graphite
Infiniti,Vision Qe,Infiniti,Vision Qe
Buik,Envista GX,Buick,Envista GX
Lincolnn,Aviator Shinola,Lincoln,Aviator Shinola
Cadilac,Vistiq,Cadillac,Vistiq
Porche,Mission R,Porsche,Mission R
Jagwar,XK,Jaguar,XK
Landrover,Defender 80,Land Rover,Defender 80
Volvoe,ES8,Volvo,ES8
GMC,Jimmy,GMC,Jimmy
Dodge,Demon 170,Dodge,Demon 170
Ram,Rampage,Ram,Rampage
Tesler,Pi,Tesla,Pi
Mini,Urbanaut,Mini,Urbanaut
Fiat,Fastback Abarth,Fiat,Fastback Abarth
Alfa Romio,6C,Alfa Romeo,6C
Genisis,Mint,Genesis,Mint
Mitsubishe,Delica D:5,Mitsubishi,Delica D:5
Toyotta,Sports EV,Toyota,Sports EV
Honnda,e:Ny1,Honda,e:Ny1
Forde,Evos,Ford,Evos
Chevrolett,FNR-XE,Chevrolet,FNR-XE
Mersedes,EQT Marco Polo,Mercedes,EQT Marco Polo
Nisan,Sakura,Nissan,Sakura
Volswagon,ID. Aero,Volkswagen,ID. Aero
Hyndai,Nexo,Hyundai,Nexo
Kiaa,Ray,Kia,Ray
BMV,iX2,BMW,iX2
Audi,Activesphere,Audi,Activesphere
Lexuss,LF-Z Electrified,Lexus,LF-Z Electrified
Mazda,MX-30 R-EV,Mazda,MX-30 R-EV
Subaru,Rex,Subaru,Rex
Acurra,Type S Concept,Acura,Type S Concept
Jeap,Wagoneer I,Jeep,Wagoneer I
Chryseler,Atlantic,Chrysler,Atlantic
Infiniti,Qs Inspiration,Infiniti,Qs Inspiration
Buik,Velite 7,Buick,Velite 7
Lincolnn,Model L100,Lincoln,Model L100
Cadilac,Symboliq,Cadillac,Symboliq
Porche,Vision GT,Porsche,Vision GT
Jagwar,C-X75,Jaguar,C-X75
Landrover,Project Zeus,Land Rover,Project Zeus
Volvoe,Concept Recharge,Volvo,Concept Recharge
GMC,Denali Ultimate,GMC,Denali Ultimate
Dodge,Tomahawk,Dodge,Tomahawk
Ram,Revolution,Ram,Revolution
Tesler,Optimus,Tesla,Optimus
Mini,Strip,Mini,Strip
Fiat,Centoventi,Fiat,Centoventi
Alfa Romio,Castello,Alfa Romeo,Castello
Genisis,Essentia,Genesis,Essentia
Mitsubishe,Mi-Tech,Mitsubishi,Mi-Tech
Toyotta,Compact Cruiser EV,Toyota,Compact Cruiser EV
Honnda,SUV e:prototype,Honda,SUV e:prototype
Forde,E-Transit Custom,Ford,E-Transit Custom
Chevrolett,Sail,Chevrolet,Sail
Mersedes,Vision EQXX,Mercedes,Vision EQXX
Nisan,IMk,Nissan,IMk
Volswagon,Trinity,Volkswagen,Trinity
Hyndai,Prophecy,Hyundai,Prophecy
Kiaa,EV4,Kia,EV4
